model,split,calibration_method,probability_column,n,event_count,event_rate,pred_mean,roc_auc,pr_auc,brier,log_loss,reliability,resolution,uncertainty,grouped_brier
baseline_logit,test,intercept_only,p_intercept_only,3990105,26987,0.006763481161523318,0.011894279132526064,0.8363517999879673,0.19032411752972758,0.006325235495292091,0.033895120635176385,0.0001447659701508255,0.00011894705903905546,0.006717736484101037,0.006743555395212807
baseline_logit,test,isotonic,p_isotonic,3990105,26987,0.006763481161523318,0.010902836552748988,0.8358953988007007,0.17737907707891648,0.006077844001101908,0.03277145281172671,7.47975094036563e-05,0.00011885977769623695,0.006717736484101037,0.006673674215808456
baseline_logit,test,platt,p_platt,3990105,26987,0.006763481161523318,0.010250860725294303,0.8363517999879673,0.19032411752972755,0.006022307505675815,0.03247983808555545,3.160788969945824e-05,0.00011894705903905546,0.006717736484101037,0.00663039731476144
baseline_logit,test,primary,p,3990105,26987,0.006763481161523318,0.010250860725294303,0.8363517999879673,0.19032411752972755,0.006022307505675815,0.03247983808555545,3.160788969945824e-05,0.00011894705903905546,0.006717736484101037,0.00663039731476144
baseline_logit,test,raw,p_raw,3990105,26987,0.006763481161523318,0.04198009651900042,0.8363517999879673,0.19032411752972755,0.011077629433964887,0.060489693325818154,0.004095615759926751,0.00011894705903905546,0.006717736484101037,0.010694405184988733
baseline_plus_p_stress_logit,test,intercept_only,p_intercept_only,3990105,26987,0.006763481161523318,0.01610474862750219,0.8416861779720425,0.19309549976462165,0.006631929949614647,0.0362120602101425,0.0003775455540387386,0.00012347541197347826,0.006717736484101037,0.006971806626166297
baseline_plus_p_stress_logit,test,isotonic,p_isotonic,3990105,26987,0.006763481161523318,0.013526999055828864,0.8410960796586905,0.1824534009399307,0.006167292267147418,0.03385802292285724,0.00016308232428527238,0.00012237877503844277,0.006717736484101037,0.006758440033347867
baseline_plus_p_stress_logit,test,platt,p_platt,3990105,26987,0.006763481161523318,0.013058382295068244,0.8416861779720425,0.19309549976462165,0.006058497061459567,0.03361988538191309,8.606337004837914e-05,0.00012347541197347826,0.006717736484101037,0.006680324442175938
baseline_plus_p_stress_logit,test,primary,p,3990105,26987,0.006763481161523318,0.013058382295068244,0.8416861779720425,0.19309549976462165,0.006058497061459567,0.03361988538191309,8.606337004837914e-05,0.00012347541197347826,0.006717736484101037,0.006680324442175938
baseline_plus_p_stress_logit,test,raw,p_raw,3990105,26987,0.006763481161523318,0.08068677601550567,0.8416861779720425,0.19309549976462165,0.022205707961225122,0.10471811328612958,0.01484679105743766,0.00012347541197347826,0.006717736484101037,0.021441052129565222
macro_logit,test,intercept_only,p_intercept_only,3990105,26987,0.006763481161523318,0.011742638938747791,0.8256801027092974,0.1492151547927601,0.006274955781734954,0.03412880407032521,9.814910778531286e-05,0.00011028004916013889,0.006717736484101037,0.006705605542726211
macro_logit,test,isotonic,p_isotonic,3990105,26987,0.006763481161523318,0.010668608060626977,0.8255235616644617,0.14315997583454687,0.006279397698802585,0.033504526979705185,6.367165347676891e-05,0.00011045310046147473,0.006717736484101037,0.006670955037116332
macro_logit,test,platt,p_platt,3990105,26987,0.006763481161523318,0.010897406437138291,0.8256801027092974,0.1492151547927601,0.006201050632664142,0.033755764434496065,4.4719162509812265e-05,0.00011028004916013889,0.006717736484101037,0.00665217559745071
