fold,month_date,n,brier_loss_difference,log_loss_difference,brier_loss_difference_sum,log_loss_difference_sum
origin_2021_04,2021-04-01,130559,0.0002465005359498155,0.006857262968490651,32.18286347307196,895.2773959031708
origin_2021_04,2021-05-01,133044,0.00013841201530415893,0.0065015545391550154,18.41488816412652,864.9928221073399
origin_2021_04,2021-06-01,135354,9.497287473812418e-06,0.005881655785894777,1.285495848730406,796.1056372440016
origin_2021_04,2021-07-01,138629,-1.858118764594611e-05,0.005667850457610492,-2.5758914621698636,785.728441088085
origin_2021_04,2021-08-01,141372,-0.00010208087982262438,0.005425695055440882,-14.431378142284053,767.0413613777883
origin_2021_04,2021-09-01,144794,-0.00012650763973278385,0.005231193041639146,-18.317547187468705,757.4453652710986
origin_2021_04,2021-10-01,148194,-0.00014942456836839933,0.004930158798266655,-22.14382448478657,730.6199529503286
origin_2021_04,2021-11-01,151979,-0.00035972874817608036,0.004119794384462531,-54.671215419052515,626.1222307562309
origin_2021_04,2021-12-01,155481,-0.0005202906191278742,0.003351290537895374,-80.895305752621,521.0620041225106
origin_2021_04,2022-01-01,158609,-0.0006199590184288023,0.002662565369123116,-98.33107995397391,422.3068306312483
origin_2021_04,2022-02-01,162298,-0.0007746237467797446,0.002021403551961742,-125.71988485485899,328.06975367628684
origin_2021_04,2022-03-01,165401,-0.0006420707188895566,0.0028273844966016583,-106.19913897505155,467.6522231224109
origin_2022_04,2022-04-01,168901,8.125001972743316e-05,0.0015390592294259845,13.723209581983188,259.9486429092782
origin_2022_04,2022-05-01,172226,9.085967768828894e-05,0.001603233696955202,15.648398849543252,276.1185266918066
origin_2022_04,2022-06-01,175027,8.378617227940126e-05,0.0015951378315912832,14.664842375546764,279.19218924992754
origin_2022_04,2022-07-01,178280,0.0001187018491311433,0.0016577158129440443,21.16216566310023,295.5375751316642
origin_2022_04,2022-08-01,181711,7.93144951962521e-05,0.0015803490109515947,14.412316236606166,287.1667991290252
origin_2022_04,2022-09-01,185055,9.693730695503005e-05,0.00162347270848704,17.938733338563086,300.4317420690692
origin_2022_04,2022-10-01,187621,8.730722705153317e-05,0.0015669941445746495,16.380669246635705,294.00100839924033
origin_2022_04,2022-11-01,191246,7.02198912866428e-05,0.0015149433604879864,13.429273329005289,289.72685791988545
origin_2022_04,2022-12-01,194247,9.023338228051626e-05,0.001620542835534458,17.527563807843443,314.78558417406185
origin_2022_04,2023-01-01,197253,9.181774007820603e-05,0.001704595498496608,18.111324683646373,336.2365758649514
origin_2022_04,2023-02-01,199724,0.0001420657474300981,0.001847174199601362,28.373939339728913,368.9250198411824
origin_2022_04,2023-03-01,202295,0.00010661344161935552,0.0018316216980405146,21.567366172387526,370.5279114051059
origin_2023_04,2023-04-01,206266,-4.341663709519291e-05,-0.0005386986744937907,-8.955376067077061,-111.11522079313623
origin_2023_04,2023-05-01,208682,-4.928769538331139e-05,-0.0005656063608047656,-10.285454847980187,-118.0318665854601
origin_2023_04,2023-06-01,211872,-2.712724562635729e-05,-0.0004929301355016872,-5.747503785347572,-104.43809366901347
origin_2023_04,2023-07-01,214767,-3.8442664055116e-05,-0.0005371049703119281,-8.256215631125098,-115.35242315898185
origin_2023_04,2023-08-01,217610,0.0002394028015974908,0.003571962629041754,52.096443655629976,777.2947877057761
origin_2023_04,2023-09-01,220569,0.00040780650894971823,0.005781459649505653,89.9494738725304,1275.2107734318124
origin_2023_04,2023-10-01,222564,0.0004504571215327635,0.006116851604193641,100.25553879681797,1361.3909604357534
origin_2023_04,2023-11-01,225578,0.0005080478768192606,0.006649544470883179,114.60442395713518,1499.9909426528857
origin_2023_04,2023-12-01,227623,0.000597681568640769,0.007105528279793756,136.04607169871775,1617.3816636314941
origin_2023_04,2024-01-01,229738,0.0006077957713243148,0.007367082969865178,139.63378491250543,1692.4989073308864
origin_2023_04,2024-02-01,231850,0.0006631028794425234,0.007672246273081788,153.74040259874906,1778.8102984140125
origin_2023_04,2024-03-01,234439,0.0007058938137484762,0.00801222563630241,165.48903980137902,1878.3781659491005
