metric,estimate_regime_minus_baseline,ci_lower_95,ci_upper_95,bootstrap_probability_regime_better,months,block_months,replicates,seed
brier,0.0005339730412791809,0.0002348819023186536,0.0008000591859835646,0.0,36,3,10000,20260727
log_loss,0.00486583847273826,0.0023714244330007702,0.00702408898163223,0.0,36,3,10000,20260727
