fold,model,feature,standardized_coefficient,basis_kind,basis_mean,basis_scale,raw_basis_coefficient,standardized_model_intercept,raw_basis_intercept
origin_2021_04,baseline_logit,credit_score,-0.3823411464691162,main,748.1173139988488,47.1682274904999,-0.008105904478732492,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,mi_percent,0.11494714766740799,main,6.62985482097222,11.530037457933899,0.009969364634484518,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,number_of_units,-0.01029068324714899,main,1.0359575473771776,0.251182089753585,-0.04096901676884833,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,original_cltv,0.039801225066185,main,74.56111416494882,17.797919893705604,0.0022362852121983684,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,original_dti,0.34217119216918945,main,34.5058039577055,9.172986819781435,0.037302047729023374,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,original_upb,-0.26413172483444214,main,221622.1226856672,116899.51369288522,-2.25947667779321e-06,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,original_ltv,0.059047162532806396,main,73.95505195821805,17.643263743925562,0.003346725605297142,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,original_interest_rate,0.28721022605895996,main,4.046326703062165,0.5462824854143776,0.5257540443404464,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,original_loan_term,-0.14298264682292938,main,317.81092034186474,74.45980414836427,-0.0019202662222698099,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,number_of_borrowers,-0.2710898220539093,main,1.4889656305239578,0.5034189260803903,-0.5384974779645438,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,loan_age_months,0.4273296296596527,main,18.364458281945367,13.924140894514316,0.030689838094643776,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,remaining_months_to_legal_maturity,-0.08357978612184525,main,299.4500456144524,76.59076782486609,-0.0010912514457742527,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,current_actual_upb,0.5886285305023193,main,210752.25690989394,113929.25499409472,5.166614409379133e-06,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,current_interest_rate,0.27073025703430176,main,4.046316948010241,0.5462783073070575,0.4955903491187451,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,credit_score_missing,-0.043216586112976074,main,6.423850786725768e-05,0.008014635442823626,-5.392208594050598,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,mi_percent_missing,0.0,main,0.0,1.0,0.0,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,number_of_units_missing,0.0,main,0.0,1.0,0.0,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,original_cltv_missing,0.21112264692783356,main,1.1757180484988807e-05,0.003428854364608659,61.572357550954,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,original_dti_missing,-0.0911579579114914,main,0.05687749052013426,0.2316083797971617,-0.39358661371115256,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,original_ltv_missing,-0.27217280864715576,main,1.1416392644844204e-05,0.0033787959853804695,-80.55319404450746,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,number_of_borrowers_missing,0.0,main,0.0,1.0,0.0,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,current_delinquency_months,0.07318083196878433,main,0.007309899171101736,0.09528556397557579,0.7680159398284352,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,current_30_dpd,0.06839744746685028,main,0.006398462092634996,0.07973406910150835,0.8578196025562728,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,current_60_dpd,0.05036379396915436,main,0.000911437078466741,0.030176254918706145,1.6689875567671597,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,recent_30_dpd_3m,0.07711753994226456,main,0.01173008785169731,0.10766843962224387,0.7162501863390279,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,recent_60_dpd_3m,0.03702583163976669,main,0.0014602758950196242,0.03818564506892674,0.9696269782252852,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,ever_30_dpd,0.19623695313930511,main,0.036621572483699266,0.18783086251338044,1.0447535112890505,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,ever_60_dpd,0.005751452408730984,main,0.0037645128761573583,0.06124003036382823,0.09391655057258286,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,months_since_30_dpd,0.1600387543439865,main,18.461500686517105,13.774882377461484,0.011618157597181558,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,months_since_60_dpd,0.0703708827495575,main,19.028060129969667,13.8550956305739,0.005079061496643212,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,delinquent_30_months_3m,-9.406983735971153e-05,main,0.017513939074631515,0.17972867993708408,-0.0005233991447143643,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,delinquent_30_months_6m,0.06329867988824844,main,0.031313801873447074,0.2949497589265678,0.21460834590479394,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,delinquent_30_months_12m,-0.011351970955729485,main,0.05183928309143644,0.4600312041482235,-0.02467652379526812,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,delinquent_60_months_3m,-0.012034386396408081,main,0.0020176344075761225,0.05854187834271549,-0.20556884638986903,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,delinquent_60_months_6m,0.043176230043172836,main,0.0032086879088815104,0.08681567959571503,0.49733216677260095,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,delinquent_60_months_12m,0.005957921966910362,main,0.004779890245868203,0.12202051536706789,0.04882721523497471,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,cured_from_30_dpd,0.008556388318538666,main,0.0029392951212472017,0.05413553052697843,0.15805494534268197,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,cumulative_30_dpd_cures,0.032589785754680634,main,0.04704439818060188,0.31438335543037665,0.10366256734573841,-4.893822303005127,-4.239074320890037
origin_2021_04,baseline_logit,months_since_30_dpd_cure,-0.16535069048404694,main,18.51510320589345,13.751982341860073,-0.012023771291556346,-4.893822303005127,-4.239074320890037
origin_2021_04,macro_logit,credit_score,-0.5296353697776794,main,748.1173139988488,47.1682274904999,-0.011228646865824091,-5.687249446002476,18.170640241442744
origin_2021_04,macro_logit,mi_percent,0.05183536931872368,main,6.62985482097222,11.530037457933899,0.004495680912385536,-5.687249446002476,18.170640241442744
origin_2021_04,macro_logit,number_of_units,-0.02665041759610176,main,1.0359575473771776,0.251182089753585,-0.10609999153302048,-5.687249446002476,18.170640241442744
origin_2021_04,macro_logit,original_cltv,0.09707798808813095,main,74.56111416494882,17.797919893705604,0.005454456962831002,-5.687249446002476,18.170640241442744
origin_2021_04,macro_logit,original_dti,0.3543951213359833,main,34.5058039577055,9.172986819781435,0.038634648484584595,-5.687249446002476,18.170640241442744
origin_2021_04,macro_logit,original_upb,-0.6860048770904541,main,221622.1226856672,116899.51369288522,-5.868329605653492e-06,-5.687249446002476,18.170640241442744
origin_2021_04,macro_logit,original_ltv,0.10814458876848221,main,73.95505195821805,17.643263743925562,0.006129511542654093,-5.687249446002476,18.170640241442744
origin_2021_04,macro_logit,original_interest_rate,0.04907383397221565,main,4.046326703062165,0.5462824854143776,0.08983234001176359,-5.687249446002476,18.170640241442744
origin_2021_04,macro_logit,original_loan_term,-0.28971871733665466,main,317.81092034186474,74.45980414836427,-0.003890941168195635,-5.687249446002476,18.170640241442744
origin_2021_04,macro_logit,number_of_borrowers,-0.1857198178768158,main,1.4889656305239578,0.5034189260803903,-0.36891703560457406,-5.687249446002476,18.170640241442744
origin_2021_04,macro_logit,loan_age_months,0.024150079116225243,main,18.364458281945367,13.924140894514316,0.001734403529753109,-5.687249446002476,18.170640241442744
origin_2021_04,macro_logit,remaining_months_to_legal_maturity,0.23440100252628326,main,299.4500456144524,76.59076782486609,0.0030604341643665077,-5.687249446002476,18.170640241442744
