fold,model,feature,standardized_coefficient
origin_2021_04,regime_aware_logit,original_cltv,0.039416249841451645
origin_2021_04,regime_aware_logit,original_dti,0.3972329795360565
origin_2021_04,regime_aware_logit,original_upb,-0.4098402261734009
origin_2021_04,regime_aware_logit,original_ltv,0.08115503191947937
origin_2021_04,regime_aware_logit,original_interest_rate,0.2986248731613159
origin_2021_04,regime_aware_logit,original_loan_term,-0.2662104368209839
origin_2021_04,regime_aware_logit,number_of_borrowers,-0.2554372251033783
origin_2021_04,regime_aware_logit,loan_age_months,0.4679775834083557
origin_2021_04,regime_aware_logit,remaining_months_to_legal_maturity,0.07592793554067612
origin_2021_04,regime_aware_logit,current_actual_upb,0.7089713215827942
origin_2021_04,regime_aware_logit,current_interest_rate,0.2893677353858948
origin_2021_04,regime_aware_logit,credit_score_missing,-0.29443132877349854
origin_2021_04,regime_aware_logit,mi_percent_missing,0.0
origin_2021_04,regime_aware_logit,number_of_units_missing,0.0
origin_2021_04,regime_aware_logit,original_cltv_missing,0.5179962515830994
origin_2021_04,regime_aware_logit,original_dti_missing,-0.1379949301481247
origin_2021_04,regime_aware_logit,original_ltv_missing,-0.8518660664558411
origin_2021_04,regime_aware_logit,number_of_borrowers_missing,0.0
origin_2021_04,regime_aware_logit,current_delinquency_months,0.04768165946006775
origin_2021_04,regime_aware_logit,current_30_dpd,0.036518923938274384
origin_2021_04,regime_aware_logit,current_60_dpd,0.053952980786561966
origin_2021_04,regime_aware_logit,recent_30_dpd_3m,0.017046477645635605
origin_2021_04,regime_aware_logit,recent_60_dpd_3m,0.024123569950461388
origin_2021_04,regime_aware_logit,ever_30_dpd,0.15907534956932068
origin_2021_04,regime_aware_logit,ever_60_dpd,0.016251206398010254
origin_2021_04,regime_aware_logit,months_since_30_dpd,0.09183372557163239
origin_2021_04,regime_aware_logit,months_since_60_dpd,0.03054402582347393
origin_2021_04,regime_aware_logit,delinquent_30_months_3m,-0.03105849213898182
origin_2021_04,regime_aware_logit,delinquent_30_months_6m,-0.03166941553354263
origin_2021_04,regime_aware_logit,delinquent_30_months_12m,0.0005376542685553432
origin_2021_04,regime_aware_logit,delinquent_60_months_3m,-0.05233914032578468
origin_2021_04,regime_aware_logit,delinquent_60_months_6m,0.07718778401613235
origin_2021_04,regime_aware_logit,delinquent_60_months_12m,0.11816029995679855
origin_2021_04,regime_aware_logit,cured_from_30_dpd,-0.026174908503890038
origin_2021_04,regime_aware_logit,cumulative_30_dpd_cures,0.0358121283352375
origin_2021_04,regime_aware_logit,months_since_30_dpd_cure,-0.11378053575754166
origin_2021_04,regime_aware_logit,p_stress,-0.71630859375
origin_2021_04,regime_aware_logit,p_stress_x_credit_score,-0.11452217400074005
origin_2021_04,regime_aware_logit,p_stress_x_original_cltv,-0.027252350002527237
origin_2021_04,regime_aware_logit,p_stress_x_original_dti,0.06602661311626434
origin_2021_04,regime_aware_logit,p_stress_x_original_ltv,0.0760212242603302
origin_2021_04,regime_aware_logit,p_stress_x_original_interest_rate,0.4420989155769348
