fold,month_date,n,brier_loss_difference,log_loss_difference,brier_loss_difference_sum,log_loss_difference_sum
origin_2021_04,2021-04-01,127180,0.0006090364593925715,0.0037105981884316217,77.45725690554724,471.91387760473367
origin_2021_04,2021-05-01,129506,0.0005063675020740103,0.0032955194252972703,65.57762972359677,426.78953869254826
origin_2021_04,2021-06-01,131593,0.0004118998303701691,0.0030348800906208353,54.20313437790166,399.3689757650676
origin_2021_04,2021-07-01,134680,0.0003326851895950481,0.0027625610878685507,44.806041334661074,372.0617273141364
origin_2021_04,2021-08-01,137248,0.00033734432042615615,0.002582660719299257,46.299833289849076,354.46501840238443
origin_2021_04,2021-09-01,140411,0.0003179862057563983,0.0024851854384123112,44.64876113646164,348.94737259291105
origin_2021_04,2021-10-01,143568,0.00026136994833768346,0.0023051138866971243,37.52436074294454,330.94059048533273
origin_2021_04,2021-11-01,147223,0.0002491746478633998,0.002286807561870181,36.68423918239331,336.67066968121367
origin_2021_04,2021-12-01,150571,0.0002865815347191205,0.0023469321898697713,43.150868264192695,353.37992676088135
origin_2021_04,2022-01-01,153543,0.0002693227656574728,0.002388088765560018,41.35262540734535,366.6743133303819
origin_2021_04,2022-02-01,157073,0.00021713277108377214,0.0021514593260370148,34.10569575244134,337.936170718612
origin_2021_04,2022-03-01,160026,0.0008253760152621178,0.006576638403266572,132.08162221833567,1052.4331371211365
origin_2022_04,2022-04-01,163376,0.00017572263720632566,0.002555302491847081,28.708861576220663,417.4750999080087
origin_2022_04,2022-05-01,166614,0.00018317085905365262,0.0025429513852079665,30.51882951036528,423.69130209504016
origin_2022_04,2022-06-01,169321,0.00018916819892970434,0.0026396166506141134,32.03014861097647,446.9425308986323
origin_2022_04,2022-07-01,172501,0.00013042161932543306,0.002490593830330462,22.497859755256528,429.6299263258351
origin_2022_04,2022-08-01,175882,0.00020588640648814307,0.0026377162048657546,36.21171294594758,463.92680154419867
origin_2022_04,2022-09-01,179158,0.00019771940616663292,0.00270738201856507,35.42301337000162,485.04914768208084
origin_2022_04,2022-10-01,181677,0.00022442159814501479,0.0028203771192629587,40.77224268619185,512.3976538963366
origin_2022_04,2022-11-01,185262,0.0002621525620991748,0.0030007504953150185,48.56690795961732,555.925038263051
origin_2022_04,2022-12-01,188203,0.0002776710508143235,0.0031015367571951627,52.25852477640812,583.7185223144012
origin_2022_04,2023-01-01,191154,0.00032846779058744396,0.003314931109104757,62.78793204195227,633.6623412298107
origin_2022_04,2023-02-01,193586,0.0002917109262505883,0.0032481249149438106,56.471151369146384,628.7915097843126
origin_2022_04,2023-03-01,196113,0.0003412244029483989,0.003524036395409756,66.91854133541935,691.1093496129935
origin_2023_04,2023-04-01,200066,-3.671380165576545e-06,-0.00012858980600051508,-0.7345183442062371,-25.72644812729905
origin_2023_04,2023-05-01,202454,4.386869868578646e-07,-0.00012599404212918514,0.08881393523732212,-25.507997805222047
origin_2023_04,2023-06-01,205586,1.734569278402433e-05,-2.8586885427296502e-05,3.5660315966964258,-5.877063427456179
origin_2023_04,2023-07-01,208458,1.3850859410917061e-05,-2.4649486731317764e-05,2.8873224510809488,-5.1383827050370385
origin_2023_04,2023-08-01,211302,0.0004526349829636382,0.005845687214576299,95.64267717018268,1235.205399814401
origin_2023_04,2023-09-01,214272,0.0009735564102779602,0.009851075846420298,208.6058791430791,2110.80972376417
origin_2023_04,2023-10-01,216233,0.0010806895450402416,0.010479563787136038,233.68074239268654,2266.027516383787
origin_2023_04,2023-11-01,219245,0.0012748883620296403,0.011543099287001564,279.51289893318847,2530.766803178658
origin_2023_04,2023-12-01,221251,0.0013940790617420955,0.012139270720470356,308.44138648950036,2685.8257861747866
origin_2023_04,2024-01-01,223304,0.0015735146814443183,0.012941550759208326,351.3721224252421,2889.900050734256
origin_2023_04,2024-02-01,225349,0.0016975567989886424,0.013590404221177249,382.5427270952916,3062.584000838072
origin_2023_04,2024-03-01,227891,0.0017900317913646829,0.014244398226216147,407.93213496588896,3246.170156170624
