fold,split,months,p_stress_min,p_stress_mean,p_stress_max,p_stress_sd,hard_stress_share,near_zero_share,near_one_share,extreme_share,mean_binary_entropy
origin_2021_04,train,75,3.142600898595276e-34,0.4773499292699921,1.0,0.4964598969626207,0.48,0.5066666666666667,0.4266666666666667,0.8933333333333333,0.012696141195701671
origin_2021_04,validation,12,2.417054781020614e-55,0.9166666666666666,1.0,0.2763853991962833,0.9166666666666666,0.08333333333333333,0.9166666666666666,1.0,2.5330659649400476e-54
origin_2021_04,test,12,4.4236741212195026e-144,0.08333333333333333,1.0,0.2763853991962833,0.08333333333333333,0.9166666666666666,0.08333333333333333,1.0,8.989313925423004e-40
origin_2022_04,train,87,5.430213982874784e-212,0.8503458895171689,1.0,0.35641301329224784,0.8505747126436781,0.14942528735632185,0.8390804597701149,0.9425287356321839,0.0015641529759580159
origin_2022_04,validation,12,7.346108886402651e-124,1.1259497877595494e-60,1.3511397453114593e-59,3.734352978778722e-60,0.0,1.0,0.0,1.0,1.5262426371778814e-58
origin_2022_04,test,12,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
origin_2023_04,train,99,1.5162405028211238e-268,0.7474213625692767,1.0,0.43442987141209016,0.7474747474747475,0.25252525252525254,0.7474747474747475,0.9797979797979798,0.00048378865543464327
origin_2023_04,validation,12,1.1273664220027496e-87,4.509255546503771e-07,5.387231576038457e-06,1.488366772551345e-06,0.0,1.0,0.0,1.0,5.932099873971988e-06
origin_2023_04,test,12,9.006830937461194e-28,0.6527591050272988,1.0,0.4637634837020084,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.9166666666666666,0.03760316240637698
