model,fold,month_date,n,event_count,event_rate,pred_mean,brier,log_loss,predicted_defaults,count_error,absolute_count_error
baseline_logit,origin_2021_04,2021-04-01,130559,844,0.00646451029802618,0.017583843021130283,0.006340951375495482,0.038799150910459435,2295.728960995749,1451.7289609957488,1451.7289609957488
baseline_logit,origin_2021_04,2021-05-01,133044,787,0.005915336279727007,0.017585963504666353,0.005937381190122734,0.037144403852948864,2339.7069285148305,1552.7069285148305,1552.7069285148305
baseline_logit,origin_2021_04,2021-06-01,135354,751,0.005548413789027292,0.017601486274448516,0.005705189912345037,0.036465750023765446,2382.4315731917045,1631.4315731917045,1631.4315731917045
baseline_logit,origin_2021_04,2021-07-01,138629,757,0.005460617908229879,0.017806571711326807,0.005654684904843247,0.03640238925063515,2468.5072297695237,1711.5072297695237,1711.5072297695237
baseline_logit,origin_2021_04,2021-08-01,141372,721,0.005100019805902159,0.0179396143389461,0.0053977884666343455,0.03537387446920108,2536.159158325488,1815.159158325488,1815.159158325488
baseline_logit,origin_2021_04,2021-09-01,144794,728,0.005027832644999102,0.018280954728863548,0.005341869785648546,0.035148997933035796,2646.9725590110684,1918.9725590110684,1918.9725590110684
baseline_logit,origin_2021_04,2021-10-01,148194,713,0.004811260914746886,0.01860472930997081,0.005164504335645871,0.0346416037850107,2757.109255361814,2044.1092553618141,2044.1092553618141
baseline_logit,origin_2021_04,2021-11-01,151979,689,0.004533521078570066,0.01861691189712127,0.005104654729603408,0.0344956125976655,2829.3796532125934,2140.3796532125934,2140.3796532125934
baseline_logit,origin_2021_04,2021-12-01,155481,704,0.004527884436040417,0.018667519861368033,0.0052642449509866665,0.03537057748154273,2902.444655565363,2198.444655565363,2198.444655565363
baseline_logit,origin_2021_04,2022-01-01,158609,745,0.004697085285198192,0.019051391242785334,0.005519940021442504,0.036706764051925016,3021.722113626939,2276.722113626939,2276.722113626939
baseline_logit,origin_2021_04,2022-02-01,162298,779,0.004799812690236479,0.019505987927681212,0.005777700879800067,0.037752226596636504,3165.7828286868053,2386.7828286868053,2386.7828286868053
baseline_logit,origin_2021_04,2022-03-01,165401,783,0.004733949613363885,0.01948504928193724,0.005638219563131018,0.037515226753312106,3222.8466362817016,2439.8466362817016,2439.8466362817016
macro_logit,origin_2021_04,2021-04-01,130559,844,0.00646451029802618,0.10755694603271715,0.016630174267049574,0.12540428317194136,14042.527317085518,13198.527317085518,13198.527317085518
