metric,estimate_regime_minus_baseline,ci_lower_95,ci_upper_95,bootstrap_probability_regime_better,months,block_months,replicates,seed
brier,9.92516172860985e-05,-0.00011873295276705556,0.0002530410664244887,0.2177,36,3,10000,20260727
log_loss,0.003468280535591172,0.0018393760874738643,0.004682654593268659,0.0,36,3,10000,20260727
