model,slice,n,event_rate,pred_mean,roc_auc,pr_auc,brier,log_loss
baseline_logit,overall,3990105,0.006763481161523318,0.010250860725294303,0.8363517999879673,0.19032411752972755,0.006022307505675815,0.03247983808555545
baseline_logit,stress,3990105,0.006763481161523318,0.010250860725294303,0.8363517999879673,0.19032411752972755,0.006022307505675815,0.03247983808555545
baseline_plus_p_stress_logit,overall,3990105,0.006763481161523318,0.013058382295068244,0.8416861779720425,0.19309549976462165,0.006058497061459567,0.03361988538191309
baseline_plus_p_stress_logit,stress,3990105,0.006763481161523318,0.013058382295068244,0.8416861779720425,0.19309549976462165,0.006058497061459567,0.03361988538191309
macro_logit,overall,3990105,0.006763481161523318,0.010897406437138291,0.8256801027092974,0.1492151547927601,0.006201050632664142,0.033755764434496065
macro_logit,stress,3990105,0.006763481161523318,0.010897406437138291,0.8256801027092974,0.1492151547927601,0.006201050632664142,0.033755764434496065
regime_aware_dynamic_stress_robustness_logit,overall,3990105,0.006763481161523318,0.0013497730697935896,0.7756597537194848,0.15828236941609586,0.006300979055831787,0.04138291473051302
regime_aware_dynamic_stress_robustness_logit,stress,3990105,0.006763481161523318,0.0013497730697935896,0.7756597537194848,0.15828236941609586,0.006300979055831787,0.04138291473051302
regime_aware_logit,overall,3990105,0.006763481161523318,0.011216182835786808,0.8556178088155363,0.20767124104893347,0.005986948665471098,0.03211331018128652
regime_aware_logit,stress,3990105,0.006763481161523318,0.011216182835786808,0.8556178088155363,0.20767124104893347,0.005986948665471098,0.03211331018128652
regime_aware_with_raw_macro_logit,overall,3990105,0.006763481161523318,0.012094638918834949,0.8372701488301587,0.2017999873197959,0.0060236816199815985,0.03314129956177763
regime_aware_with_raw_macro_logit,stress,3990105,0.006763481161523318,0.012094638918834949,0.8372701488301587,0.2017999873197959,0.0060236816199815985,0.03314129956177763
