model,coefficient,standardized_model_intercept,raw_basis_intercept,feature,basis_kind,standardized_coefficient,basis_mean,basis_scale,raw_basis_coefficient
baseline_logit,-0.3984944366717954,-4.869506116897833,-3.321800213468931,credit_score,main,-0.3984944366717954,748.8429086947942,46.97607739629283,-0.00848292277173494
baseline_logit,0.12149229282707773,-4.869506116897833,-3.321800213468931,mi_percent,main,0.12149229282707773,6.441691306831577,11.391825966815876,0.010664865595821246
baseline_logit,0.009340036534591421,-4.869506116897833,-3.321800213468931,number_of_units,main,0.009340036534591421,1.0362769000270728,0.2512786464908277,0.037170036789944086
baseline_logit,0.0847598907435668,-4.869506116897833,-3.321800213468931,original_cltv,main,0.0847598907435668,73.94686691157796,17.919308879750563,0.004730087042550419
baseline_logit,0.3604215078612566,-4.869506116897833,-3.321800213468931,original_dti,main,0.3604215078612566,34.34433143183438,9.27727216487509,0.03884994440778157
baseline_logit,-0.3887775998439633,-4.869506116897833,-3.321800213468931,original_upb,main,-0.3887775998439633,221705.6111832477,119047.80428829581,-3.265726757147641e-06
baseline_logit,0.08353077445023706,-4.869506116897833,-3.321800213468931,original_ltv,main,0.08353077445023706,73.40804014554756,17.79460301872334,0.004694163413611793
baseline_logit,0.23267547125673446,-4.869506116897833,-3.321800213468931,original_interest_rate,main,0.23267547125673446,3.9815009392946643,0.6114631218552014,0.38052249259250276
baseline_logit,-0.23966407595764555,-4.869506116897833,-3.321800213468931,original_loan_term,main,-0.23966407595764555,316.7174069308762,75.09193255102699,-0.003191608842864543
baseline_logit,-0.2732595412394921,-4.869506116897833,-3.321800213468931,number_of_borrowers,main,-0.2732595412394921,1.4848531653097023,0.5052748086120804,-0.5408137049026807
baseline_logit,0.21723238654643798,-4.869506116897833,-3.321800213468931,loan_age_months,main,0.21723238654643798,21.501699869612203,17.32918638578146,0.012535636798544475
baseline_logit,0.08652081950724753,-4.869506116897833,-3.321800213468931,remaining_months_to_legal_maturity,main,0.08652081950724753,295.2202960071478,78.32242776661928,0.0011046748929317838
baseline_logit,0.7486994561191356,-4.869506116897833,-3.321800213468931,current_actual_upb,main,0.7486994561191356,208951.660251209,116417.23472499067,6.431173682210957e-06
baseline_logit,0.23611342122300275,-4.869506116897833,-3.321800213468931,current_interest_rate,main,0.23611342122300275,3.981488345158888,0.6114575820577036,0.38614848871188023
baseline_logit,-0.05132584470033874,-4.869506116897833,-3.321800213468931,credit_score_missing,main,-0.05132584470033874,9.225435399904765e-05,0.009604469955870332,-5.343953902314824
baseline_logit,0.0,-4.869506116897833,-3.321800213468931,mi_percent_missing,main,0.0,0.0,1.0,0.0
baseline_logit,0.0,-4.869506116897833,-3.321800213468931,number_of_units_missing,main,0.0,0.0,1.0,0.0
baseline_logit,-0.06821906070330622,-4.869506116897833,-3.321800213468931,original_cltv_missing,main,-0.06821906070330622,1.0838962819647788e-05,0.00329224016993487,-20.721167710147885
baseline_logit,-0.10041643773266708,-4.869506116897833,-3.321800213468931,original_dti_missing,main,-0.10041643773266708,0.051023801623331755,0.22004629806300913,-0.4563423180330593
baseline_logit,-0.42949358516312597,-4.869506116897833,-3.321800213468931,original_ltv_missing,main,-0.42949358516312597,8.252392146777293e-06,0.002872685859052665,-149.50941600859952
baseline_logit,0.0,-4.869506116897833,-3.321800213468931,number_of_borrowers_missing,main,0.0,0.0,1.0,0.0
baseline_logit,0.11768633571889146,-4.869506116897833,-3.321800213468931,current_delinquency_months,main,0.11768633571889146,0.010926659882461302,0.12212693623790266,0.963639466805579
baseline_logit,0.11241636954432938,-4.869506116897833,-3.321800213468931,current_30_dpd,main,0.11241636954432938,0.008872799598170087,0.09377671899496588,1.1987662902811103
baseline_logit,0.08461192627984715,-4.869506116897833,-3.321800213468931,current_60_dpd,main,0.08461192627984715,0.0020538602842912145,0.04527297143134992,1.8689280514346005
baseline_logit,0.07628080728285747,-4.869506116897833,-3.321800213468931,recent_30_dpd_3m,main,0.07628080728285747,0.014818956065003231,0.12082778904766375,0.6313184068340972
baseline_logit,0.10214753007180678,-4.869506116897833,-3.321800213468931,recent_60_dpd_3m,main,0.10214753007180678,0.0028766360983281144,0.053557082286901245,1.9072646550200434
baseline_logit,0.21724501792960935,-4.869506116897833,-3.321800213468931,ever_30_dpd,main,0.21724501792960935,0.047465665737718286,0.212632726347083,1.0216913532632679
