model,split,test_month,n,observed_defaults,predicted_defaults,count_error,absolute_count_error,relative_count_error,absolute_relative_count_error,observed_default_rate,predicted_default_rate,count_error_rate,absolute_count_error_rate,p_stress_mean,hard_stress_share
baseline_logit,test,2023-04,200066,1117.0,1407.4529781395154,290.4529781395154,290.4529781395154,0.2600295238491633,0.2600295238491633,0.005583157558005858,0.007034943359388979,0.0014517858013831204,0.0014517858013831204,0.999958480201736,1.0
baseline_logit,test,2023-05,202454,1134.0,1467.493022982147,333.49302298214707,333.49302298214707,0.2940855581853149,0.2940855581853149,0.005601272387801674,0.00724852570451632,0.0016472533167146467,0.0016472533167146467,0.999999899954197,1.0
baseline_logit,test,2023-06,205586,1185.0,1574.9254922193568,389.9254922193568,389.9254922193568,0.32905104828637705,0.32905104828637705,0.0057640111680756475,0.007660665085265323,0.0018966539171896763,0.0018966539171896763,0.9999999744544451,1.0
baseline_logit,test,2023-07,208458,1236.0,1693.1118907238974,457.11189072389743,457.11189072389743,0.3698316267992698,0.3698316267992698,0.005929251935641712,0.008122076824702805,0.0021928248890610933,0.0021928248890610933,0.9999999913803682,1.0
baseline_logit,test,2023-08,211302,1256.0,1748.6498103400827,492.6498103400827,492.6498103400827,0.3922371101433779,0.3922371101433779,0.0059440989673547814,0.008275595168716258,0.0023314962013614763,0.0023314962013614763,0.9999999999215948,1.0
baseline_logit,test,2023-09,214272,1322.0,1895.4439372238355,573.4439372238355,573.4439372238355,0.43376999790002685,0.43376999790002685,0.006169728195937874,0.008845971182533581,0.002676242986595708,0.002676242986595708,0.999999999776407,1.0
baseline_logit,test,2023-10,216233,1379.0,2001.3360829796434,622.3360829796434,622.3360829796434,0.4512952015805971,0.4512952015805971,0.006377379955880925,0.009255460928626266,0.002878080972745341,0.002878080972745341,0.9999999999985208,1.0
baseline_logit,test,2023-11,219245,1412.0,2140.158544460804,728.158544460804,728.158544460804,0.5156930201563767,0.5156930201563767,0.006440283700882574,0.009761493053254596,0.003321209352372022,0.003321209352372022,0.9999998574907759,1.0
baseline_logit,test,2023-12,221251,1516.0,2293.3805065385914,777.3805065385914,777.3805065385914,0.5127839752893083,0.5127839752893083,0.006851946431880534,0.010365514761689626,0.003513568329809092,0.003513568329809092,0.999936355129158,1.0
baseline_logit,test,2024-01,223304,1595.0,2344.2315776154783,749.2315776154783,749.2315776154783,0.4697376662166008,0.4697376662166008,0.007142729194282234,0.010497938136421553,0.003355208942139318,0.003355208942139318,0.999999365530501,1.0
