fold,model,feature,standardized_coefficient
origin_2021_04,regime_aware_logit,original_dti,-0.08314144611358643
origin_2021_04,regime_aware_logit,original_upb,-0.2891998291015625
origin_2021_04,regime_aware_logit,original_ltv,0.04296175017952919
origin_2021_04,regime_aware_logit,original_interest_rate,0.2229505032300949
origin_2021_04,regime_aware_logit,original_loan_term,0.524857223033905
origin_2021_04,regime_aware_logit,number_of_borrowers,-0.2527594268321991
origin_2021_04,regime_aware_logit,loan_age_months,0.3214682936668396
origin_2021_04,regime_aware_logit,remaining_months_to_legal_maturity,-0.6964102983474731
origin_2021_04,regime_aware_logit,current_actual_upb,0.6581690907478333
origin_2021_04,regime_aware_logit,current_interest_rate,0.39966917037963867
origin_2021_04,regime_aware_logit,current_delinquency_months,0.06297264993190765
origin_2021_04,regime_aware_logit,current_30_dpd,0.03817468136548996
origin_2021_04,regime_aware_logit,current_60_dpd,0.09559161961078644
origin_2021_04,regime_aware_logit,recent_30_dpd_3m,0.040084995329380035
origin_2021_04,regime_aware_logit,recent_60_dpd_3m,0.03102683834731579
origin_2021_04,regime_aware_logit,ever_30_dpd,0.1339808851480484
origin_2021_04,regime_aware_logit,ever_60_dpd,0.022627780213952065
origin_2021_04,regime_aware_logit,months_since_30_dpd,0.04070017486810684
origin_2021_04,regime_aware_logit,months_since_60_dpd,0.06655941158533096
origin_2021_04,regime_aware_logit,delinquent_30_months_3m,0.014492732472717762
origin_2021_04,regime_aware_logit,delinquent_30_months_6m,0.031804077327251434
origin_2021_04,regime_aware_logit,delinquent_30_months_12m,0.042851489037275314
origin_2021_04,regime_aware_logit,delinquent_60_months_3m,0.0003125626826658845
origin_2021_04,regime_aware_logit,delinquent_60_months_6m,-0.003296162700280547
origin_2021_04,regime_aware_logit,delinquent_60_months_12m,-0.12732645869255066
origin_2021_04,regime_aware_logit,cured_from_30_dpd,-0.008577361702919006
origin_2021_04,regime_aware_logit,cumulative_30_dpd_cures,-0.004984597209841013
origin_2021_04,regime_aware_logit,months_since_30_dpd_cure,-0.10410122573375702
origin_2021_04,regime_aware_logit,p_stress,-0.37873193621635437
origin_2021_04,regime_aware_logit,p_stress_x_credit_score,-0.3041781485080719
origin_2021_04,regime_aware_logit,p_stress_x_original_cltv,0.07909616827964783
origin_2021_04,regime_aware_logit,p_stress_x_original_dti,-0.030764920637011528
origin_2021_04,regime_aware_logit,p_stress_x_original_ltv,-0.02666216716170311
origin_2021_04,regime_aware_logit,p_stress_x_original_interest_rate,0.4079200029373169
origin_2021_04,regime_aware_logit,p_stress_x_current_delinquency_months,0.04550861939787865
origin_2021_04,regime_aware_logit,p_stress_x_recent_60_dpd_3m,-0.02139948680996895
origin_2021_04,regime_aware_logit,p_stress_x_months_since_30_dpd,0.1470457762479782
origin_2022_04,baseline_logit,credit_score,-0.7994911670684814
origin_2022_04,baseline_logit,mi_percent,0.12322402000427246
origin_2022_04,baseline_logit,number_of_units,-0.033825743943452835
origin_2022_04,baseline_logit,original_cltv,0.05861593037843704
origin_2022_04,baseline_logit,original_dti,-0.05774419754743576
origin_2022_04,baseline_logit,original_upb,-0.38396987318992615
origin_2022_04,baseline_logit,original_ltv,0.05154772847890854
origin_2022_04,baseline_logit,original_interest_rate,0.10912474989891052
origin_2022_04,baseline_logit,original_loan_term,0.6409798860549927
origin_2022_04,baseline_logit,number_of_borrowers,-0.24062389135360718
origin_2022_04,baseline_logit,loan_age_months,0.005422097165137529
origin_2022_04,baseline_logit,remaining_months_to_legal_maturity,-0.8405565023422241
origin_2022_04,baseline_logit,current_actual_upb,0.7464414238929749
origin_2022_04,baseline_logit,current_interest_rate,0.36657142639160156
origin_2022_04,baseline_logit,current_delinquency_months,0.09366665035486221
origin_2022_04,baseline_logit,current_30_dpd,0.08119753003120422
origin_2022_04,baseline_logit,current_60_dpd,0.08526624739170074
origin_2022_04,baseline_logit,recent_30_dpd_3m,0.11828404664993286
origin_2022_04,baseline_logit,recent_60_dpd_3m,0.09122520685195923
origin_2022_04,baseline_logit,ever_30_dpd,0.18390902876853943
origin_2022_04,baseline_logit,ever_60_dpd,0.023229656741023064
origin_2022_04,baseline_logit,months_since_30_dpd,-0.19345027208328247
origin_2022_04,baseline_logit,months_since_60_dpd,0.08618370443582535
origin_2022_04,baseline_logit,delinquent_30_months_3m,-0.08738689124584198
origin_2022_04,baseline_logit,delinquent_30_months_6m,0.0298591498285532
origin_2022_04,baseline_logit,delinquent_30_months_12m,0.041496217250823975
origin_2022_04,baseline_logit,delinquent_60_months_3m,-0.0015695535112172365
origin_2022_04,baseline_logit,delinquent_60_months_6m,-0.02808004803955555
origin_2022_04,baseline_logit,delinquent_60_months_12m,-0.1591176837682724
origin_2022_04,baseline_logit,cured_from_30_dpd,0.03415578231215477
origin_2022_04,baseline_logit,cumulative_30_dpd_cures,0.0013893547002226114
origin_2022_04,baseline_logit,months_since_30_dpd_cure,0.24790270626544952
origin_2022_04,macro_logit,credit_score,-0.9210993051528931
origin_2022_04,macro_logit,mi_percent,0.11645413935184479
origin_2022_04,macro_logit,number_of_units,0.03611356392502785
origin_2022_04,macro_logit,original_cltv,0.10518568754196167
origin_2022_04,macro_logit,original_dti,-0.05093799903988838
origin_2022_04,macro_logit,original_upb,-0.7465711832046509
origin_2022_04,macro_logit,original_ltv,-0.0032948662992566824
origin_2022_04,macro_logit,original_interest_rate,-0.17383930087089539
origin_2022_04,macro_logit,original_loan_term,1.649025797843933
origin_2022_04,macro_logit,number_of_borrowers,-0.2464166283607483
origin_2022_04,macro_logit,loan_age_months,-0.45925095677375793
origin_2022_04,macro_logit,remaining_months_to_legal_maturity,-1.7704391479492188
origin_2022_04,macro_logit,current_actual_upb,1.1125881671905518
origin_2022_04,macro_logit,current_interest_rate,0.38912731409072876
origin_2022_04,macro_logit,current_delinquency_months,0.09851236641407013
origin_2022_04,macro_logit,current_30_dpd,0.08587031811475754
origin_2022_04,macro_logit,current_60_dpd,0.08843936771154404
origin_2022_04,macro_logit,recent_30_dpd_3m,0.07012626528739929
origin_2022_04,macro_logit,recent_60_dpd_3m,0.04189559444785118
origin_2022_04,macro_logit,ever_30_dpd,0.1920592486858368
origin_2022_04,macro_logit,ever_60_dpd,0.00744344899430871
origin_2022_04,macro_logit,months_since_30_dpd,-0.19509606063365936
origin_2022_04,macro_logit,months_since_60_dpd,0.10157544165849686
origin_2022_04,macro_logit,delinquent_30_months_3m,-0.13704147934913635
origin_2022_04,macro_logit,delinquent_30_months_6m,0.0552113875746727
origin_2022_04,macro_logit,delinquent_30_months_12m,0.07752788811922073
