metric,estimate_regime_minus_baseline,ci_lower_95,ci_upper_95,bootstrap_probability_regime_better,months,block_months,replicates,seed
brier,8.68680261989876e-05,-0.0001558393019476186,0.00027135463622132374,0.2518,36,3,10000,20260727
log_loss,0.0018573100794214014,-0.0008755513501629451,0.004020525009434387,0.0876,36,3,10000,20260727
