month_date,fold,p_stress,hard_stress,hmm_state,hmm_stress_state,selected_seed,train_end
2014-01-01,origin_2021_04,1.0,1,0,0,101,2020-03-01
2014-02-01,origin_2021_04,0.9999999998246114,1,0,0,101,2020-03-01
2014-03-01,origin_2021_04,0.9999999999632285,1,0,0,101,2020-03-01
2014-04-01,origin_2021_04,0.9999958582569367,1,0,0,101,2020-03-01
2014-05-01,origin_2021_04,0.9999999999544817,1,0,0,101,2020-03-01
2014-06-01,origin_2021_04,0.9999999798930868,1,0,0,101,2020-03-01
2014-07-01,origin_2021_04,0.9999999804108166,1,0,0,101,2020-03-01
2014-08-01,origin_2021_04,0.9999979319890628,1,0,0,101,2020-03-01
2014-09-01,origin_2021_04,0.9997970149186018,1,0,0,101,2020-03-01
2014-10-01,origin_2021_04,0.9999920498239089,1,0,0,101,2020-03-01
2014-11-01,origin_2021_04,0.9996176899750491,1,0,0,101,2020-03-01
2014-12-01,origin_2021_04,0.9999999800957762,1,0,0,101,2020-03-01
2015-01-01,origin_2021_04,0.9999998928309064,1,0,0,101,2020-03-01
2015-02-01,origin_2021_04,0.9999763631052551,1,0,0,101,2020-03-01
2015-03-01,origin_2021_04,0.9990036777680894,1,0,0,101,2020-03-01
2015-04-01,origin_2021_04,0.9999319136444897,1,0,0,101,2020-03-01
2015-05-01,origin_2021_04,0.9808670621455523,1,0,0,101,2020-03-01
2015-06-01,origin_2021_04,0.9999460420022505,1,0,0,101,2020-03-01
2015-07-01,origin_2021_04,0.9887891975309857,1,0,0,101,2020-03-01
2015-08-01,origin_2021_04,0.9995713457425034,1,0,0,101,2020-03-01
2015-09-01,origin_2021_04,0.9995412910343526,1,0,0,101,2020-03-01
2015-10-01,origin_2021_04,0.9987414121892221,1,0,0,101,2020-03-01
2015-11-01,origin_2021_04,0.9331241561496738,1,0,0,101,2020-03-01
2015-12-01,origin_2021_04,0.9976385415039657,1,0,0,101,2020-03-01
2016-01-01,origin_2021_04,0.9999971256284487,1,0,0,101,2020-03-01
2016-02-01,origin_2021_04,0.9999999014709497,1,0,0,101,2020-03-01
2016-03-01,origin_2021_04,0.9998991730145117,1,0,0,101,2020-03-01
2016-04-01,origin_2021_04,0.9999817415154842,1,0,0,101,2020-03-01
