split,auc,brier,logloss,event_rate,pred_mean
train,0.9416294146105468,0.01606838228018793,0.06159746588293996,0.020504128164470448,0.020501244358123172
val,0.8970929439061006,0.01307474165930135,0.05726399840928773,0.015532206486980357,0.016972879729352207
test,0.9225035860989763,0.011012280684371769,0.04650207606348332,0.012618296529968454,0.01627105897675775
